source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD027891_arekelle_C1910_053	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	21	PXD027891_arekelle_C1910_053_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_053.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_083	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	22	PXD027891_arekelle_C1910_083_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_083.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_032	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	23	PXD027891_arekelle_C1910_032_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_032.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_052	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	24	PXD027891_arekelle_C1910_052_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_052.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_086	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	25	PXD027891_arekelle_C1910_086_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_086.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_029	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	26	PXD027891_arekelle_C1910_029_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_029.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_091	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	27	PXD027891_arekelle_C1910_091_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_091.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_090	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	28	PXD027891_arekelle_C1910_090_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_090.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_070	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	29	PXD027891_arekelle_C1910_070_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_070.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_044	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	30	PXD027891_arekelle_C1910_044_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_044.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_056	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	31	PXD027891_arekelle_C1910_056_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_056.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD027891_arekelle_C1910_037	NT=Gallus gallus (chicken);AC=NCBITaxon:9031	NT=Oryctolagus cuniculus (rabbit);AC=NCBITaxon:9986	NT=Bos taurus (bovine);AC=NCBITaxon:9913	not available	not available	32	PXD027891_arekelle_C1910_037_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSS;AC=XLMOD:02001	not available	not available	not available	not available	not available	arekelle_C1910_037.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
