accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD018121,,,45,Panagrolaimus,55784,Shotgun proteomics,,False,False,RAW
PXD017976,,,14,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD018678,32487995.0,PMC7266817,58,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD016215,,,2,Aspergillus niger atcc 13496,1353008,Top-down proteomics,,False,False,RAW
PXD017871,,,15,Mus musculus (mouse),10090,Shotgun proteomics,,False,False,RAW
PXD018943,,,1,Macaca nemestrina,9545,Shotgun proteomics,,False,False,GZ;MZML;RAW
PXD017352,32523895.0,PMC7261840,4,Escherichia coli; Caenorhabditis elegans,562; 6239,Shotgun proteomics,CC BY,False,False,RAW
PXD016882,,,18,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD016967,,,12,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD015578,,,1186,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD017217,,,0,Homo sapiens (human),9606,SWATH MS,,False,False,SCAN;WIFF
PXD015940,32348883.0,,72,Oryctolagus cuniculus cuniculus; Saccharomyces cerevisiae (baker's yeast),568996; 4932,Shotgun proteomics; Gel-based experiment,,False,False,RAW
PXD013356,31396628.0,PMC6878950,0,Lithobius forficatus; Scutigera coleoptrata; Strigamia maritima; Craterostigmus tasmanianus; Scolopendra morsitans,7552; 29022; 126957; 60162; 943129,Shotgun proteomics,CC BY,False,False,SCAN;WIFF
PXD017268,32360370.0,,1,Homo sapiens (human),9606,Shotgun proteomics,,False,False,MGF;RAW
PXD012843,0.0,,4,Physcomitrella patens subsp. patens (moss),3218,Shotgun proteomics,,False,False,RAW
PXD018043,32223200.0,PMC7909725,0,Macaca mulatta (rhesus macaque),9544,Top-down proteomics,author_manuscript,False,False,MZXML
PXD018294,32368190.0,PMC7189645,12,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD018714,,,6,Mycoplasma hominis atcc 23114,347256,Shotgun proteomics,,False,False,GZ;MGF;RAW
PXD013801,32341059.0,,234,Gallus gallus (chicken),9031,Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD018066,32343577.0,,14,Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human),4932; 9606,Shotgun proteomics,,False,False,RAW
PXD016742,32343577.0,,11,Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human),4932; 9606,Shotgun proteomics,,False,False,RAW
PXD014153,32457714.0,PMC7220994,0,Desmodesmus subspicatus,104105,Shotgun proteomics,CC BY,False,False,ZIP
PXD018143,32421830.0,PMC7293028,8,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY-NC,False,False,RAW
PXD005970,29350075.0,,24,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD016261,31877049.0,,10,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD011977,32367721.0,,0,Arachis hypogaea (peanut),3818,Shotgun proteomics,,False,False,GZ;SCAN;WIFF
PXD011980,32367721.0,,0,Arachis hypogaea (peanut),3818,Shotgun proteomics,,False,False,GZ;SCAN;WIFF
PXD017250,32110948.0,PMC7154910,36,Solanum lycopersicum,4081,Shotgun proteomics,CC BY,False,False,RAW
PXD013541,32522993.0,PMC7287054,33,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,GZ;MGF;RAW
PXD013399,32357013.0,PMC7281779,74,Homo sapiens (human),9606,Shotgun proteomics,NO-CC CODE,False,False,RAW
PXD009902,30739529.0,,117,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,GZ;MGF;RAW
PXD018369,32478154.0,PMC7251648,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,GZ;MCF;MCF_IDX;MGF
PXD018687,32357304.0,,0,Rattus norvegicus (rat),10116,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,GZ;MGF
PXD018176,32352297.0,PMC7273743,44,Equus caballus (horse); Gallus gallus (chicken); Escherichia coli; Homo sapiens (human); Oryctolagus cuniculus (rabbit),9796; 9031; 562; 9606; 9986,Shotgun proteomics,NO-CC CODE,False,False,MGF;RAW
PXD011961,32209477.0,,19,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD015606,32347222.0,PMC7423749,52,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,False,False,GZ;MGF;RAW
PXD018325,33372049.0,,193,Homo sapiens (human); Bos taurus (bovine),9606; 9913,Shotgun proteomics,,False,False,RAW
PXD010508,31738831.0,,6,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD016133,32546260.0,PMC7296777,56,Toxoplasma gondii rh,383379,Shotgun proteomics,CC BY,False,False,RAW
PXD017642,32703943.0,PMC7378245,4,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD017537,32383290.0,,0,Ovis aries,9940,SWATH MS,,False,False,ZIP
PXD016225,,,36,Trichodesmium,1205,Shotgun proteomics,,False,False,GZ;MGF;RAW
PXD018449,32385243.0,PMC7210311,4,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD016370,32520929.0,PMC7307792,24,Trypanosoma brucei,5691,Shotgun proteomics,CC BY,False,False,RAW
PXD014913,32362126.0,,1,Cowpox virus (brighton red); Homo sapiens (human),265872; 9606,Shotgun proteomics,,False,False,MGF;RAW
PXD017109,32345711.0,,45,Homo sapiens (human),9606,Shotgun proteomics; Gel-based experiment,,False,False,RAW
PXD016968,32252346.0,PMC7226152,71,Homo sapiens (human),9606,Shotgun proteomics; Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD014974,32561711.0,PMC7305310,2,Haloferax volcanii ds2,309800,Shotgun proteomics,CC BY,False,False,RAW
PXD016865,,,15,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD010824,28069824.0,,8,Haloferax volcanii (halobacterium volcanii),2246,Shotgun proteomics,,False,False,RAW
PXD011015,32561711.0,PMC7305310,30,Haloferax volcanii (halobacterium volcanii),2246,Shotgun proteomics,CC BY,False,False,RAW
PXD011050,32561711.0,PMC7305310,16,Haloferax volcanii (halobacterium volcanii),2246,Shotgun proteomics,CC BY,False,False,RAW
PXD011012,32561711.0,PMC7305310,62,Haloferax volcanii (halobacterium volcanii),2246,Shotgun proteomics,CC BY,False,False,RAW
PXD018789,32393579.0,,0,Bordetella pertussis (strain tohama i / atcc baa-589 / nctc 13251); Escherichia coli,257313; 562,Shotgun proteomics,,False,False,BAF
PXD015880,32596240.0,PMC7300190,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,GZ;MGF;ZIP
PXD016886,32398368.0,,0,Hadronyche infensa,153481,Shotgun proteomics,,False,False,SCAN;TXT;WIFF
PXD017261,,,18,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD015941,32391791.0,PMC7289601,8,Human herpesvirus 1 (strain kos) (hhv-1) (human herpes simplex virus 1); Bacteria; Human alphaherpesvirus 1,10306; 2; 10298,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD015111,32332738.0,PMC7181861,18,Salmonella typhimurium (strain lt2 / sgsc1412 / atcc 700720); Bacteria,99287; 2,Shotgun proteomics,CC BY,False,False,GZ;MGF;MZML;RAW
PXD016963,32250121.0,PMC7199212,77,Escherichia coli; Homo sapiens (human),562; 9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW
PXD018604,32385109.0,,0,Human immunodeficiency virus 1; Mouse mammary tumor virus,11676; 11757,Shotgun proteomics,,False,False,BAF;MGF
PXD018392,0.0,,0,Caenorhabditis elegans,6239,Shotgun proteomics,,False,False,ZIP
PXD017799,32397227.0,PMC7290998,37,Homo sapiens (human),9606,mass spectrometry imaging,CC BY,False,False,GZ;MGF;RAW
PXD013892,,,20,Mus musculus (mouse),10090,Shotgun proteomics,,False,False,RAW
PXD019077,32637477.0,PMC7327420,41,Mycoplasma gallisepticum s6,1006581,SWATH MS,CC BY,False,False,RAW
PXD017298,,,9,Mycobacterium tuberculosis h37rv,83332,Shotgun proteomics,,False,False,RAW
PXD018021,32378798.0,PMC7278547,3,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD013340,32378902.0,PMC7345075,39,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,False,False,MZML;RAW
PXD015673,32239614.0,,2,Homo sapiens (human),9606,Gel-based experiment,,False,False,GZ;MGF;RAW
PXD017924,32414842.0,,0,Hybanthus enneaspermus,212266,Shotgun proteomics,,False,False,WIFF
PXD010965,32385381.0,PMC7211010,0,Homo sapiens (human),9606,HDMSE,CC BY,False,False,GZ;MGF;ZIP
PXD011218,29301397.0,,72,Haloferax volcanii ds2,309800,Shotgun proteomics,,False,False,RAW
PXD013589,32409584.0,,0,Mycobacterium tuberculosis; Mycobacterium tuberculosis h37rv,1773; 83332,Shotgun proteomics,,False,False,MGF;SCAN;WIFF
PXD014254,32433612.0,PMC7610944,20,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,NO-CC CODE,False,False,GZ;MGF;RAW
PXD018858,32561745.0,PMC7305103,16,Escherichia coli,562,Shotgun proteomics,CC BY,False,False,RAW
PXD017427,32394717.0,,8,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD015559,32128117.0,PMC7042732,12,Tubastraea coccinea,46700,Shotgun proteomics,CC BY,False,False,CSV;RAW
PXD016805,32374750.0,PMC7202638,19,Culex pipiens pipiens; West nile virus; Homo sapiens (human); Japanese encephalitis virus,38569; 11082; 9606; 11072,Shotgun proteomics,CC BY,False,False,RAW
PXD017644,32457113.0,,0,Homo sapiens (human),9606,Gel-based experiment,,False,False,HTM;XLSX
