source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S10	Mus musculus	not available	not available	not available	21	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S7	Mus musculus	not available	not available	not available	22	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S4	Mus musculus	not available	not available	not available	23	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S4	Mus musculus	not available	not available	not available	24	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S2	Mus musculus	not available	not available	not available	25	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S12	Mus musculus	not available	not available	not available	26	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S6	Mus musculus	not available	not available	not available	27	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S12	Mus musculus	not available	not available	not available	28	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S10	Mus musculus	not available	not available	not available	29	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S10	Mus musculus	not available	not available	not available	30	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
