pxd	has_sdrf	raw_count	proteome_context	material_type_match	has_crosslinker	model_organism	scale_ok	taxids	passes
PXD011931	True	46	True	False	True	True	True	9606;9913;10116	True
PXD011974	True	36	True	False	False	True	True	9606	False
PXD011995	True	28	True	False	True	True	True	6239;9606;10116	True
PXD012109	True	15	True	False	True	True	True	562;7227;10116	True
PXD012157	True	140	True	False	False	True	True	9606	False
PXD012225	True	47	False	False	False	True	True	9606	False
PXD012350	True	24	True	False	True	True	True	9606	True
PXD012427	True	36	False	False	True	True	True	10090;10116	False
PXD012466	True	2	False	False	True	True	False	10116;1440772	False
PXD012494	True	49	True	False	False	True	True	9606	False
PXD012521	True	6	True	False	False	True	False	9606	False
PXD012546	True	67	True	False	True	True	True	7227;10116	True
PXD012592	True	52	False	False	True	True	True	9606	False
PXD012624	True	6	True	False	True	True	False	4896;10116	False
PXD012723	True	3	False	False	True	True	False	9606;10116	False
PXD012759	True	216	True	False	False	True	True	9606	False
PXD012788	True	57	True	False	True	True	True	9606;10116	True
PXD012882	True	6	False	False	True	True	False	8355;9606;10116	False
PXD012939	True	84	False	False	True	True	True	9606;9913;10116	False
PXD013032	True	10	True	False	False	True	False	10090;10116	False
PXD013063	True	10	True	False	True	True	False	9606;10116	False
PXD013083	True	16	False	False	True	True	True	9913;10116	False
PXD013097	True	28	True	False	False	True	True	9606	False
PXD013144	True	6	False	False	True	True	False	9606;10116	False
PXD013160	True	59	False	False	False	True	True	10090;10116	False
PXD013183	True	8	False	False	False	False	False	1264690	False
PXD013194	True	12	False	False	False	True	True	9606	False
PXD013209	True	48	True	False	True	True	True	10090;10116	True
PXD013215	True	9	True	False	False	True	False	4932	False
PXD013338	True	208	True	False	True	True	True	7227;9606;10116	True
PXD013339	True	8	True	False	True	True	False	9606	False
PXD013470	True	12	False	False	True	True	True	3702;10116	False
PXD013476	True	37	False	False	True	True	True	9606;10116	False
PXD013601	True	1	True	False	False	True	False	9606	False
PXD013704	True	120	True	False	True	False	True	3847	False
PXD013720	True	34	True	False	True	True	True	6239;10116	True
PXD013735	True	188	True	False	True	False	True	3055	False
PXD013769	True	6	False	False	True	True	False	4932;10116	False
PXD013907	True	48	False	False	True	True	True	9606	False
PXD013928	True	344	True	False	False	True	True	9606	False
PXD014055	True	113	True	False	True	True	True	4932	True
PXD014067	True	12	False	False	False	True	True	4565;9606	False
PXD014247	True	6	True	False	False	True	False	9606	False
PXD014337	True	9	False	False	True	False	False	1438992	False
PXD014359	True	6	False	False	True	True	False	562;9606;10116	False
PXD014426	True	15	False	False	False	False	True	185431	False
PXD014499	True	18	True	False	False	True	True	10090;10116	False
PXD014500	True	7	True	False	False	True	False	10090;10116	False
PXD014520	True	3	True	False	False	True	False	9606	False
PXD014523	True	24	False	False	True	True	True	9913;10116	False
PXD014584	True	46	True	False	True	True	True	4932	True
PXD014642	True	0	True	False	False	True	False	9606	False
PXD014661	True	24	True	False	True	True	True	9606	True
PXD014673	True	149	True	False	True	True	True	9606;10116	True
PXD014675	True	110	True	False	True	True	True	9606	True
PXD014738	True	5	False	False	True	True	False	10116;209285	False
PXD014759	True	240	True	False	True	True	True	4932	True
PXD014898	True	0	False	False	False	True	False	9606;9825;10090	False
PXD014957	True	67	True	False	True	True	True	9606	True
PXD015037	True	30	False	False	False	True	True	9606	False
PXD015044	True	29	False	False	True	True	True	9606;10116	False
PXD015080	True	7	False	False	False	True	False	9606;9913;10116	False
PXD015160	True	129	True	False	True	True	True	10090;10116	True
PXD015161	True	27	True	False	True	True	True	3702	True
PXD015162	True	9	True	False	True	True	False	3702	False
PXD015285	True	28	False	False	True	True	True	3702;10090	False
PXD015366	True	8	True	False	True	True	False	9606;10116	False
PXD015394	True	88	False	False	True	True	True	9606	False
PXD015435	True	211	True	False	True	True	True	9606;10116	True
PXD015479	True	13	True	False	False	True	True	9606	False
PXD015507	True	26	False	False	False	True	True	9606	False
PXD015549	True	36	False	False	False	False	True	1462	False
PXD015658	True	8	False	False	True	False	False	3055	False
PXD015682	True	14	False	False	True	True	True	9606	False
PXD015725	True	6	True	False	False	True	False	9606	False
PXD015751	True	245	True	False	True	True	True	9606;10116	True
PXD015779	True	6	False	False	False	True	False	9606;10116	False
PXD015793	True	2	False	False	True	False	False	759272	False
PXD015863	True	28	True	False	True	True	True	9606	True
PXD015883	True	157	False	False	False	False	True	813;471472	False
PXD015890	True	157	True	False	False	True	True	813;9606	False
PXD015941	True	8	False	False	True	True	False	2;9606;10116;10298;10306	False
PXD015974	True	106	False	False	True	False	True	562	False
PXD015985	True	25	True	False	True	False	True	562	False
PXD015989	True	40	False	False	False	True	True	9606;9913	False
PXD016196	True	12	False	False	True	True	True	4932	False
PXD016221	True	8	False	False	False	True	False	10090;10116	False
PXD016224	True	4	False	False	False	True	False	9606	False
PXD016355	True	28	False	False	True	True	True	9606	False
PXD016554	True	230	True	False	True	True	True	562;4932;9606	True
PXD016639	True	19	False	False	True	True	True	9606	False
PXD016963	True	77	True	False	True	True	True	562;1313;9606;10116	True
PXD016988	True	0	False	False	False	True	False	4932	False
PXD016993	True	0	False	False	False	False	False	562	False
PXD017020	True	1	False	False	True	True	False	9031;10116	False
PXD017066	True	0	False	False	False	True	False	4932	False
PXD017085	True	22	True	False	False	True	True	3702	False
PXD017128	True	13	True	False	True	True	True	9606	True
PXD017238	True	6	False	False	True	True	False	7227;10116	False
PXD017241	True	54	True	False	False	True	True	10090;10116	False
PXD017244	True	36	True	False	True	True	True	9606	True
PXD017299	True	0	False	False	False	False	False	9913	False
PXD017344	True	40	True	False	False	True	True	9606;10090	False
PXD017378	True	21	False	False	False	True	True	9606	False
PXD017379	True	37	False	False	True	True	True	9606	False
PXD017531	True	16	False	False	True	True	True	9606	False
PXD017584	True	19	True	False	False	False	True	562	False
PXD017620	True	280	True	False	True	True	True	4932;10116	True
PXD017868	True	12	True	False	False	True	True	9606	False
PXD017873	True	6	False	False	True	False	False	1111707	False
PXD017931	True	58	False	False	True	True	True	9606	False
PXD017933	True	24	False	False	False	True	True	9606	False
PXD017937	True	24	False	False	False	True	True	10116	False
PXD017951	True	6	False	False	False	True	False	9606	False
PXD017996	True	6	False	False	True	True	False	9606	False
PXD018040	True	2	True	False	False	True	False	9606	False
PXD018106	True	11	False	False	True	True	True	9606	False
PXD018189	True	0	True	False	False	True	False	9606;9913	False
PXD018219	True	31	False	False	True	True	True	3702;4932	False
PXD018232	True	8	False	False	True	True	False	4932;10116	False
PXD018265	True	9	True	False	False	True	False	10090;10116	False
PXD018291	True	2	True	False	False	True	False	562;9606	False
PXD018310	True	7	False	False	True	True	False	4932	False
PXD018383	True	85	False	False	False	True	True	9606	False
PXD018580	True	47	True	False	True	True	True	9606	True
PXD018608	True	23	False	False	True	False	True	284812	False
PXD018687	True	0	False	False	False	True	False	10116	False
PXD018771	True	122	True	False	True	True	True	562;9606	True
PXD018786	True	8	False	False	True	True	False	9606;10116;10245	False
PXD018935	True	8	True	False	True	True	False	562;10116	False
PXD019017	True	11	False	False	True	True	True	9606	False
PXD019043	True	0	True	False	False	True	False	446;9606	False
PXD019048	True	15	False	False	True	True	True	9606	False
PXD019101	True	90	False	False	True	True	True	9606	False
PXD019215	True	5	False	False	True	True	False	9913;10116	False
PXD019251	True	32	False	False	True	True	True	9606	False
PXD019274	True	26	False	False	True	True	True	4932;10116	False
PXD019338	True	65	True	False	True	True	True	9606;10116;11676	True
PXD019428	True	12	False	False	False	True	True	9606;10116	False
PXD019484	True	13	False	False	True	True	True	10090;10116	False
PXD019507	True	18	False	False	True	True	True	9913;10116	False
PXD019508	True	18	False	False	True	False	True	562	False
PXD019530	True	0	False	False	False	True	False	9606	False
PXD019599	True	3	False	False	True	True	False	562;10116	False
PXD019713	True	3	False	False	True	True	False	9606	False
PXD019724	True	192	False	False	True	False	True	9031;9913;9986	False
PXD019751	True	24	False	False	True	True	True	9606	False
PXD019771	True	18	True	False	True	True	True	9606;10090;10116	True
PXD019868	True	3	False	False	True	True	False	9606	False
PXD019926	True	235	True	False	True	True	True	9031;9606;9796;9913;10116	True
PXD019944	True	1	False	False	True	True	False	9606	False
PXD020014	True	57	False	False	True	True	True	562;9606;9913;10116	False
PXD020084	True	18	False	False	True	True	True	9606;10116	False
PXD020119	True	12	True	False	True	True	True	9544;9606	True
PXD020165	True	15	True	False	False	True	True	9606	False
PXD020229	True	3	False	False	True	False	False	5691	False
PXD020290	True	0	True	False	False	True	False	8355;9606	False
PXD020302	True	18	False	False	False	False	True	485	False
PXD020323	True	8	True	False	False	True	False	9606	False
PXD020340	True	12	True	False	False	True	True	9606	False
PXD020370	True	6	False	False	False	True	False	9606	False
PXD020418	True	2	True	False	True	True	False	562;9606	False
PXD020453	True	14	False	False	True	True	True	9606;10116	False
PXD020542	True	21	True	False	False	True	True	9606;10116	False
PXD020602	True	408	False	False	True	True	True	9606	False
PXD020636	True	48	False	False	True	True	True	9606	False
PXD020704	True	28	False	False	True	True	True	9913;10116	False
PXD020709	True	149	True	False	False	True	True	9606	False
PXD020759	True	10	True	False	False	True	False	9606	False
PXD020817	True	32	False	False	True	True	True	9031;10116	False
PXD020826	True	53	False	False	False	True	True	9606	False
PXD020859	True	278	False	False	True	True	True	10116	False
PXD021115	True	108	True	False	True	True	True	9606	True
PXD021126	True	15	False	False	True	True	True	9606;10116	False
PXD021182	True	3	False	False	True	True	False	9606	False
PXD021375	True	6	True	False	False	True	False	9606;10116;10117	False
PXD021417	True	3	False	False	True	False	False	1438992	False
PXD021434	True	13	False	False	True	True	True	9606;10116	False
PXD021553	True	8	True	False	True	False	False	2;487	False
PXD021622	True	10	True	False	False	True	False	9606	False
PXD021648	True	1	False	False	True	True	False	9913;10116	False
PXD021691	True	6	True	False	False	True	False	3704;9606;10090;10116	False
PXD021693	True	6	True	False	False	True	False	3704;9606;10090;10116	False
PXD021708	True	4	False	False	True	True	False	9606	False
PXD021709	True	8	False	False	False	True	False	9606	False
PXD021770	True	0	True	False	False	True	False	9606	False
PXD021809	True	0	True	False	False	True	False	9606	False
PXD021822	True	0	True	False	False	False	False	243230	False
PXD021831	True	240	False	False	True	True	True	4932	False
PXD021870	True	63	False	False	True	False	True	562	False
PXD021872	True	15	False	False	True	False	True	562	False
PXD021923	True	24	True	False	False	True	True	9606	False
PXD022119	True	1	True	False	True	True	False	9606;10116	False
PXD022279	True	25	True	False	True	True	True	9606	True
PXD022335	True	52	True	False	False	True	True	10090;10116	False
PXD022440	True	0	True	False	False	False	False	8355	False
PXD022443	True	6	False	False	True	True	False	9606	False
PXD022608	True	20	True	False	False	True	True	9606	False
PXD022675	True	123	True	False	True	True	True	9606;10116	True
PXD022690	True	71	True	False	True	True	True	4932;9913	True
PXD022772	True	0	False	False	False	False	False	1438992	False
PXD022785	True	4	True	False	False	False	False	383379	False
PXD022861	True	2	True	False	True	True	False	9606;10116	False
PXD022903	True	578	True	False	False	True	True	9606	False
PXD022991	True	24	False	False	False	True	True	9606	False
PXD023022	True	12	True	False	True	True	True	3702;10116	True
PXD023072	True	12	False	False	True	True	True	10090;10116	False
PXD023073	True	3	True	False	False	True	False	562;9606	False
PXD023164	True	6	False	False	True	True	False	4932	False
PXD023192	True	26	True	False	True	False	True	562	False
PXD023221	True	0	True	False	False	True	False	9606	False
PXD023239	True	63	True	False	False	True	True	9606	False
PXD023277	True	40	True	False	False	True	True	9606	False
PXD023487	True	59	True	False	True	True	True	9606	True
PXD023522	True	0	False	False	False	True	False	9606;10090	False
PXD023525	True	3	False	False	False	True	False	562;9606	False
PXD023542	True	27	True	False	False	True	True	9606;10116	False
PXD023577	True	18	True	False	True	True	True	9606;10116	True
PXD023651	True	8	True	False	False	True	False	9606	False
PXD023814	True	74	True	False	False	True	True	9606	False
PXD023817	True	105	True	False	True	True	True	9606;10116	True
PXD024010	True	29	False	False	False	True	True	9606	False
PXD024065	True	2	False	False	False	True	False	4932	False
PXD024120	True	3	True	False	False	True	False	9606	False
PXD024131	True	4	True	False	True	True	False	4932	False
PXD024160	True	4	False	False	False	True	False	4932	False
PXD024168	True	10	True	False	False	True	False	9606	False
PXD024253	True	2	True	False	False	False	False	562;9913	False
PXD024254	True	84	False	False	True	True	True	10090;10116	False
PXD024335	True	6	False	False	False	True	False	9606	False
PXD024361	True	14	True	False	False	True	True	10090;10116	False
PXD024366	True	24	True	False	False	True	True	10090;10116	False
PXD024367	True	12	True	False	False	True	True	10090;10116	False
PXD024399	True	60	True	False	False	True	True	9606	False
PXD024492	True	4	True	False	True	True	False	4932	False
PXD024493	True	4	True	False	True	True	False	4932	False
PXD024822	True	24	False	False	True	True	True	9606	False
PXD024946	True	14	False	False	True	True	True	9606;10090;10116	False
PXD025066	True	4	False	False	False	True	False	9606;2665958	False
PXD025099	True	30	False	False	True	True	True	9606;10116	False
PXD025122	True	9	True	False	False	False	False	1280	False
PXD025141	True	14	False	False	False	True	True	9606;10090;10116	False
PXD025172	True	20	False	False	True	True	True	4932;10116	False
PXD025179	True	8	True	False	False	True	False	9606	False
PXD025208	True	10	False	False	False	True	False	9606	False
PXD025220	True	2	False	False	True	False	False	5691	False
PXD025357	True	6	True	False	False	True	False	5691;10116	False
PXD025391	True	247	False	False	True	True	True	9606;12721	False
PXD025581	True	15	True	False	False	True	True	9606	False
PXD025662	True	16	False	False	True	True	True	9606	False
PXD025710	True	98	False	False	True	True	True	9606	False
PXD025796	True	10	True	False	True	True	False	9606	False
