pxd	pid	log_file	status_file	command
PXD003754	3123486	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003754.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003754.exit	python src/main.py --pxd PXD003754 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003880	3123543	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003880.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003880.exit	python src/main.py --pxd PXD003880 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003909	3123679	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003909.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003909.exit	python src/main.py --pxd PXD003909 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003913	3123811	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003913.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003913.exit	python src/main.py --pxd PXD003913 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD003917	3124030	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD003917.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD003917.exit	python src/main.py --pxd PXD003917 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004009	3124114	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004009.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004009.exit	python src/main.py --pxd PXD004009 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004018	3124211	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004018.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004018.exit	python src/main.py --pxd PXD004018 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004105	3124221	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004105.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004105.exit	python src/main.py --pxd PXD004105 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004107	3124316	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004107.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004107.exit	python src/main.py --pxd PXD004107 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004236	3124453	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004236.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004236.exit	python src/main.py --pxd PXD004236 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004692	3124508	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004692.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004692.exit	python src/main.py --pxd PXD004692 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004736	3124538	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004736.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004736.exit	python src/main.py --pxd PXD004736 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004749	3124756	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004749.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004749.exit	python src/main.py --pxd PXD004749 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004898	3124807	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004898.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004898.exit	python src/main.py --pxd PXD004898 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD004920	3124896	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD004920.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD004920.exit	python src/main.py --pxd PXD004920 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005012	3124906	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005012.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005012.exit	python src/main.py --pxd PXD005012 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005201	3124932	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005201.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005201.exit	python src/main.py --pxd PXD005201 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005287	3124994	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005287.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005287.exit	python src/main.py --pxd PXD005287 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005349	3125131	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005349.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005349.exit	python src/main.py --pxd PXD005349 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005566	3125166	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005566.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005566.exit	python src/main.py --pxd PXD005566 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005601	3125382	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005601.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005601.exit	python src/main.py --pxd PXD005601 --config configs/config.yaml --no-download --nproc 1 --verbose
